"","TEAM_ABBREVIATION","ADV_TEAM_ABREVIATION","START_POSITION","MIN","FGM","FGA","FG3M","FG3A","FTM","FTA","OREB","DREB","AST","STL","BLK","TO","PF","PTS","PLUS_MINUS","RCK","WIN"
"4371","POR","LAL","Not Started",572,0,0,0,0,0,0,0,2,0,1,0,1,2,0,-5,"NoRookie","Lose"
"4372","POR","LAL","Not Started",1016,5,10,3,7,2,2,0,2,1,0,0,0,0,15,-8,"Rookie","Lose"
"4373","POR","LAL","Not Started",655,1,2,0,1,0,0,0,0,1,0,2,0,1,2,4,"Rookie","Lose"
"4375","SAC","SAS","Forward",2553,6,15,0,0,9,11,1,9,5,0,0,4,1,21,1,"NoRookie","Lose"
"4376","SAC","SAS","Forward",1145,2,11,1,5,0,0,4,5,3,2,0,2,5,5,11,"NoRookie","Lose"
"4377","SAC","SAS","Center",2680,6,9,0,0,1,2,6,8,5,3,2,0,3,13,-6,"NoRookie","Lose"
"4378","SAC","SAS","Guard",2346,10,27,3,11,0,0,4,3,0,0,1,2,3,23,3,"NoRookie","Lose"
"4379","SAC","SAS","Guard",2291,3,9,1,5,0,0,0,1,1,1,0,2,2,7,-3,"NoRookie","Lose"
"4380","SAC","SAS","Not Started",1278,4,12,1,6,0,0,0,4,0,1,0,1,1,9,-8,"NoRookie","Lose"
"4381","SAC","SAS","Not Started",1725,3,5,3,5,0,0,1,5,2,2,0,0,0,9,-4,"NoRookie","Lose"
"4382","SAC","SAS","Not Started",1383,6,11,0,1,5,5,0,0,3,1,0,1,1,17,-2,"NoRookie","Lose"
"4383","SAC","SAS","Not Started",499,0,3,0,1,0,0,0,1,0,0,0,2,4,0,3,"NoRookie","Lose"
"4385","SAS","SAC","Forward",2382,5,14,3,5,2,3,1,9,7,2,0,3,3,15,3,"NoRookie","Win"
"4386","SAS","SAC","Forward",2093,8,18,1,2,2,2,3,10,1,0,1,1,3,19,-2,"NoRookie","Win"
"4387","SAS","SAC","Center",1282,4,9,1,3,0,0,2,4,2,1,0,3,1,9,-9,"NoRookie","Win"
"4388","SAS","SAC","Guard",1178,4,8,1,4,0,0,0,2,1,1,0,0,1,9,-7,"NoRookie","Win"
"4389","SAS","SAC","Guard",1277,0,7,0,2,0,0,0,1,1,0,1,2,0,0,-12,"NoRookie","Win"
"4390","SAS","SAC","Not Started",1982,5,11,2,6,1,3,0,0,5,2,0,1,2,13,8,"NoRookie","Win"
"4391","SAS","SAC","Not Started",1903,5,10,0,2,4,4,2,5,3,3,0,4,3,14,13,"NoRookie","Win"
"4392","SAS","SAC","Not Started",890,0,4,0,2,0,0,1,3,1,1,0,1,0,0,-2,"NoRookie","Win"
"4393","SAS","SAC","Not Started",1087,5,5,0,0,3,5,2,1,1,0,3,0,1,13,3,"NoRookie","Win"
"4394","SAS","SAC","Not Started",1109,4,5,3,4,0,0,0,2,1,0,0,0,1,11,17,"NoRookie","Win"
"4399","SAS","SAC","Not Started",717,1,5,0,2,0,0,2,2,2,0,0,2,1,2,-7,"Rookie","Win"
"4401","LAC","MIL","Forward",1770,5,14,1,2,6,6,1,4,4,2,2,5,0,17,-18,"NoRookie","Lose"
"4402","LAC","MIL","Forward",1310,1,6,1,4,0,0,0,3,2,2,0,1,2,3,-8,"NoRookie","Lose"
"4403","LAC","MIL","Center",1466,6,10,0,1,2,2,6,6,2,0,0,1,0,14,-2,"NoRookie","Lose"
"4404","LAC","MIL","Guard",1874,5,12,3,6,0,0,0,7,0,0,1,5,4,13,-25,"NoRookie","Lose"
"4405","LAC","MIL","Guard",1793,2,7,2,5,0,0,2,2,1,1,0,2,4,6,-32,"NoRookie","Lose"
"4406","LAC","MIL","Not Started",1393,5,13,1,4,0,0,0,1,3,0,0,5,2,11,-33,"NoRookie","Lose"
